runName, messagesPerSec, kbytesPerSec, status, instanceType, numberRecordsAttempted, percentMessagesReceived, averageRecordSizeBytes, numberKeys, numberPartitions, numberProcessors, retries, compression.type, acks, batch.size, linger.ms, max.in.flight.requests.per.connection
baldur1506181382753,90007,90007,DONE,m4.xlarge,20000000,99.981335,1000,50,50,1,null,none,1,16384,0,null,
baldur1506181682698,162453,162453,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,snappy,1,16384,0,null,
baldur1506181866247,36242,36242,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,gzip,1,16384,0,null,
baldur1506183023484,97382,97382,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,lz4,1,16384,0,null,
baldur1506183572057,90418,90418,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,none,1,16384,0,null,
baldur1506183839399,36278,36278,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,gzip,1,16384,0,null,
baldur1506189080455,161531,161531,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,snappy,1,16384,0,null,
baldur1506189281030,96291,96291,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,lz4,1,16384,0,null,
baldur1506190824827,89389,89389,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,none,1,16384,0,null,
baldur1506191077835,150458,150458,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,snappy,1,16384,0,null,
baldur1506191248505,36192,36192,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,gzip,1,16384,0,null,
baldur1506191856463,92230,92230,DONE,m4.xlarge,20000000,100.0,1000,50,50,1,null,lz4,1,16384,0,null,
baldur1506197053032,325,325,DONE,mac-laptop,20000000,5.512205,1000,50,50,1,null,none,1,16384,0,null,
baldur1506265489837,172268,172268,DONE,c4.xlarge,20000000,100.0,1000,50,50,1,null,snappy,1,16384,0,null,
baldur1506265816696,129635,129635,DONE,c4.xlarge,20000000,100.0,1000,50,50,1,null,none,1,16384,0,null,
baldur1506266224343,40252,40252,DONE,c4.xlarge,20000000,100.0,1000,50,50,1,null,gzip,1,16384,0,null,
baldur1506266880551,114361,114361,DONE,c4.xlarge,20000000,100.0,1000,50,50,1,null,lz4,1,16384,0,null,
baldur1506268531685,182175,182175,DONE,c4.xlarge,20000000,100.0,1000,50,50,1,null,snappy,1,16384,0,null,
baldur1506269016707,129301,129301,DONE,c4.xlarge,20000000,100.0,1000,50,50,1,null,none,1,16384,0,null,
baldur1506269306801,39205,39205,DONE,c4.xlarge,20000000,100.0,1000,50,50,1,null,gzip,1,16384,0,null,
baldur1506269835225,115801,115801,DONE,c4.xlarge,20000000,100.0,1000,50,50,1,null,lz4,1,16384,0,null,
baldur1506270722636,171406,171406,DONE,c4.xlarge,20000000,100.0,1000,50,50,1,null,snappy,1,16384,50,null,
